Country,GDP per capita (USD)
Russia,26456.38794
Greece,27287.0834
Turkey,28384.98778
Latvia,29932.49391
Hungary,31007.76841
Portugal,32181.15454
Poland,32238.15726
Estonia,35638.42135
Spain,36215.44759
Slovenia,36547.73896
Lithuania,36732.03474
Israel,38341.30757
Italy,38992.14838
United Kingdom,41627.12927
France,42025.61737
New Zealand,42404.39374
Canada,45856.62563
Finland,47260.80046
Belgium,48210.03311
Australia,48697.83703
Sweden,50683.32351
Germany,50922.35802
Austria,51935.60386
Iceland,52279.72885
Netherlands,54209.56384
Denmark,55938.21281
United States,60235.72849
